,$,private,public,rpar,lpar,id,dot,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,eof,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,attribute,constructorkeyword,arrow,function,localvar,rsqbr,lsqbr,sr,not,floatlit,intlit,class,equal,or
ADDOP,,,,,,,,,,,,,,,,,,,,,ADDOP → minus SEMACT1,ADDOP → plus SEMACT1,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDOP → or SEMACT1
APARAMS,,,,APARAMS → &epsilon,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,ARITHEXPR → SEMACT2 TERM RIGHTRECARITHEXPR SEMACT25,ARITHEXPR → SEMACT2 TERM RIGHTRECARITHEXPR SEMACT25,,,,,,,,,,,,,,,ARITHEXPR → SEMACT2 TERM RIGHTRECARITHEXPR SEMACT25,ARITHEXPR → SEMACT2 TERM RIGHTRECARITHEXPR SEMACT25,,,,,,,,,,,,,,,,,,,,,,ARITHEXPR → SEMACT2 TERM RIGHTRECARITHEXPR SEMACT25,ARITHEXPR → SEMACT2 TERM RIGHTRECARITHEXPR SEMACT25,ARITHEXPR → SEMACT2 TERM RIGHTRECARITHEXPR SEMACT25,,,
ARRAYOROBJECT,,,,,ARRAYOROBJECT → lpar APARAMS rpar,,,,,ARRAYOROBJECT → SEMACT2 REPTARRAYSIZE SEMACT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYOROBJECT → SEMACT2 REPTARRAYSIZE SEMACT3,,,,,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr ARRAYSIZE2,,,,,,,
ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE2 → rsqbr,,,,,ARRAYSIZE2 → intlit SEMACT1 rsqbr,,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP → equal SEMACT1,
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECL → class id SEMACT1 SEMACT2 OPTINHERITS SEMACT7 lcurbr REPTMEMBERDECL rcurbr semi,,
CLASSDECLORFUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECLORFUNCDEF → SEMACT2 FUNCDEF SEMACT11,,,,,,,,CLASSDECLORFUNCDEF → SEMACT2 CLASSDECL SEMACT5,,
EXPR,,,,,EXPR → SEMACT2 ARITHEXPR EXPR2 SEMACT26,EXPR → SEMACT2 ARITHEXPR EXPR2 SEMACT26,,,,,,,,,,,,,,,EXPR → SEMACT2 ARITHEXPR EXPR2 SEMACT26,EXPR → SEMACT2 ARITHEXPR EXPR2 SEMACT26,,,,,,,,,,,,,,,,,,,,,,EXPR → SEMACT2 ARITHEXPR EXPR2 SEMACT26,EXPR → SEMACT2 ARITHEXPR EXPR2 SEMACT26,EXPR → SEMACT2 ARITHEXPR EXPR2 SEMACT26,,,
EXPR2,,,,EXPR2 → &epsilon,,,,,,EXPR2 → &epsilon,,,,,,,,,,,,,,EXPR2 → &epsilon,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,EXPR2 → RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,,
FACTOR,,,,,FACTOR → lpar ARITHEXPR rpar,FACTOR → SEMACT2 id SEMACT1 SEMACT33 FACTOR2 REPTVARIABLEORFUNCTIONCALL,,,,,,,,,,,,,,,FACTOR → SIGN SEMACT2 FACTOR SEMACT20,FACTOR → SIGN SEMACT2 FACTOR SEMACT20,,,,,,,,,,,,,,,,,,,,,,FACTOR → not SEMACT1 SEMACT2 FACTOR SEMACT20,FACTOR → SEMACT2 floatlit SEMACT1 SEMACT32,FACTOR → SEMACT2 intlit SEMACT1 SEMACT32,,,
FACTOR2,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → lpar APARAMS rpar,,FACTOR2 → REPTIDNEST1,,,FACTOR2 → REPTIDNEST1,,,,,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,FACTOR2 → REPTIDNEST1,FACTOR2 → REPTIDNEST1,,,,,,,FACTOR2 → REPTIDNEST1
FPARAMS,,,,FPARAMS → &epsilon,,FPARAMS → SEMACT2 id SEMACT1 colon TYPE REPTFPARAMS3 REPTFPARAMS4 SEMACT10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id SEMACT1 colon TYPE REPTFPARAMSTAIL4,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,,,,,,FUNCBODY → lcurbr SEMACT2 REPTLOCALVARORSTAT SEMACT12 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY,,,,,,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → function id SEMACT1 FUNCHEADTAIL,,,,,,,,,,
FUNCHEADMEMBERTAIL,,,,,,FUNCHEADMEMBERTAIL → id SEMACT1 lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADMEMBERTAIL → constructorkeyword lpar FPARAMS rpar,,,,,,,,,,,,
FUNCHEADTAIL,,,,,FUNCHEADTAIL → lpar FPARAMS rpar arrow RETURNTYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEADTAIL → sr FUNCHEADMEMBERTAIL,,,,,,
